kuntanumero,kunta,maakuntanumero,maakunta
5,Alajärvi,14,Etelä-Pohjanmaa
9,Alavieska,17,Pohjois-Pohjanmaa
10,Alavus,14,Etelä-Pohjanmaa
16,Asikkala,7,Päijät-Häme
18,Askola,1,Uusimaa
19,Aura,2,Varsinais-Suomi
20,Akaa,6,Pirkanmaa
35,Brändö,21,Ahvenanmaa
43,Eckerö,21,Ahvenanmaa
46,Enonkoski,10,Etelä-Savo
47,Enontekiö,19,Lappi
49,Espoo,1,Uusimaa
50,Eura,4,Satakunta
51,Eurajoki,4,Satakunta
52,Evijärvi,14,Etelä-Pohjanmaa
60,Finström,21,Ahvenanmaa
61,Forssa,5,Kanta-Häme
62,Föglö,21,Ahvenanmaa
65,Geta,21,Ahvenanmaa
69,Haapajärvi,17,Pohjois-Pohjanmaa
71,Haapavesi,17,Pohjois-Pohjanmaa
72,Hailuoto,17,Pohjois-Pohjanmaa
74,Halsua,16,Keski-Pohjanmaa
75,Hamina,8,Kymenlaakso
76,Hammarland,21,Ahvenanmaa
77,Hankasalmi,13,Keski-Suomi
78,Hanko,1,Uusimaa
79,Harjavalta,4,Satakunta
81,Hartola,7,Päijät-Häme
82,Hattula,5,Kanta-Häme
86,Hausjärvi,5,Kanta-Häme
90,Heinävesi,10,Etelä-Savo
91,Helsinki,1,Uusimaa
92,Vantaa,1,Uusimaa
97,Hirvensalmi,10,Etelä-Savo
98,Hollola,7,Päijät-Häme
99,Honkajoki,4,Satakunta
102,Huittinen,4,Satakunta
103,Humppila,5,Kanta-Häme
105,Hyrynsalmi,18,Kainuu
106,Hyvinkää,1,Uusimaa
108,Hämeenkyrö,6,Pirkanmaa
109,Hämeenlinna,5,Kanta-Häme
111,Heinola,7,Päijät-Häme
139,Ii,17,Pohjois-Pohjanmaa
140,Iisalmi,11,Pohjois-Savo
142,Iitti,8,Kymenlaakso
143,Ikaalinen,6,Pirkanmaa
145,Ilmajoki,14,Etelä-Pohjanmaa
146,Ilomantsi,12,Pohjois-Karjala
148,Inari,19,Lappi
149,Inkoo,1,Uusimaa
