kuntanumero,name,latitude,longitude
5,Alajärvi,23.8167,63.0
9,Alavieska,24.299999,64.166702
10,Alavus,23.616699,62.583302
16,Asikkala,25.5,61.216702000000005
18,Askola,25.6,60.533297999999995
19,Aura,22.5875,60.647099
20,Akaa,23.866699,61.166698
35,Brändö,21.0426,60.4126
43,Eckerö,19.5595,60.2232
46,Enonkoski,28.9333,62.083302
47,Enontekiö,23.6322,68.385696
49,Espoo,24.652201,60.2052
50,Eura,22.133301,61.133301
51,Eurajoki,21.733299,61.200001
52,Evijärvi,23.483299,63.366699
60,Finström,19.9881,60.229
61,Forssa,23.6215,60.814602
62,Föglö,20.4139,60.0146
65,Geta,19.8472,60.375
69,Haapajärvi,25.3333,63.75
71,Haapavesi,25.366699,64.133301
72,Hailuoto,24.7139,65.009003
74,Halsua,24.1667,63.466702000000005
75,Hamina,27.197901,60.569697999999995
76,Hammarland,19.7402,60.2164
77,Hankasalmi,26.4333,62.383301
78,Hanko,22.950001,59.833302
79,Harjavalta,22.133301,61.3167
81,Hartola,26.016701,61.583302
82,Hattula,24.3715,61.057499
86,Hausjärvi,24.9333,60.783297999999995
90,Heinävesi,28.6,62.4333
91,Helsinki,24.9354,60.169498
92,Vantaa,25.041,60.294102
97,Hirvensalmi,26.799999,61.633301
98,Hollola,25.4333,61.049999
99,Honkajoki,22.266701,61.983299
102,Huittinen,22.700001,61.1833
103,Humppila,23.366699,60.9333
105,Hyrynsalmi,28.5333,64.666702
106,Hyvinkää,24.866699,60.633301
108,Hämeenkyrö,23.195299,61.639099
109,Hämeenlinna,24.4643,60.995998
111,Heinola,26.038099,61.205601
139,Ii,25.3731,65.317398
140,Iisalmi,27.190701,63.5592
142,Iitti,26.338699,60.894901000000004
143,Ikaalinen,23.0658,61.769501
145,Ilmajoki,22.5667,62.733299
146,Ilomantsi,30.9328,62.6716
148,Inari,27.028799,68.905998
149,Inkoo,24.004601,60.045898
151,Isojoki,21.958799,62.113201000000004
152,Isokyrö,22.3333,63.0117
153,Imatra,28.752399,61.171799
165,Janakkala,24.6,60.900002
167,Joensuu,29.763201000000002,62.6012
169,Jokioinen,23.48,60.801601
170,Jomala,19.9486,60.1522
171,Joroinen,27.8316,62.1782
172,Joutsa,26.116699,61.733299
176,Juuka,29.25,63.233299
177,Juupajoki,24.3694,61.799
178,Juva,27.85,61.900002
179,Jyväskylä,25.7209,62.241501
181,Jämijärvi,22.700001,61.8167
182,Jämsä,25.190001000000002,61.864201
186,Järvenpää,25.089899,60.473701
202,Kaarina,22.368999,60.4072
204,Kaavi,28.5,62.983299
205,Kajaani,27.7285,64.227303
208,Kalajoki,23.950001,64.25
211,Kangasala,24.076,61.463799
213,Kangasniemi,26.6479,61.993598999999996
214,Kankaanpää,22.4167,61.799999
216,Kannonkoski,25.25,62.966702000000005
217,Kannus,23.9,63.900002
218,Karijoki,21.708599,62.308498
224,Karkkila,24.209801000000002,60.534199
226,Karstula,24.7833,62.866699
230,Karvia,22.5667,62.133301
231,Kaskinen,21.223301,62.384399
232,Kauhajoki,22.1833,62.4333
233,Kauhava,23.071301000000002,63.103001
235,Kauniainen,24.7276,60.212101000000004
236,Kaustinen,23.6884,63.548801
239,Keitele,26.366699,63.1833
240,Kemi,24.5637,65.736397
241,Keminmaa,24.5448,65.801598
244,Kempele,25.503401,64.913101
245,Kerava,25.105,60.4034
249,Keuruu,24.700001,62.266701
250,Kihniö,23.1833,62.200001
256,Kinnula,24.950001,63.383301
257,Kirkkonummi,24.438499,60.123798
260,Kitee,30.15,62.099998
261,Kittilä,24.8936,67.664703
263,Kiuruvesi,26.616699,63.650002
265,Kivijärvi,25.0784,63.119801
271,Kokemäki,22.3564,61.2565
272,Kokkola,23.130699,63.838501
273,Kolari,23.7778,67.33049799999999
275,Konnevesi,26.3167,62.616699
276,Kontiolahti,29.847099,62.760201
280,Korsnäs,21.200001,62.783297999999995
284,Koski Tl,23.15,60.650002
285,Kotka,26.945801,60.4664
286,Kouvola,26.700001,60.866699
287,Kristiinankaupunki,21.3798,62.2739
288,Kruunupyy,23.143101,63.721199
290,Kuhmo,29.516701,64.133301
291,Kuhmoinen,25.1833,61.5667
295,Kumlinge,20.778000000000002,60.2588
297,Kuopio,27.677,62.892399
300,Kuortane,23.5,62.799999
301,Kurikka,22.4167,62.616699
304,Kustavi,21.358801,60.5453
305,Kuusamo,29.1833,65.966698
309,Outokumpu,29.0159,62.726799
312,Kyyjärvi,24.5667,63.033297999999995
316,Kärkölä,23.941999,60.6129
317,Kärsämäki,25.766701,63.966702000000005
318,Kökar,20.9091,59.9208
320,Kemijärvi,27.430599,66.71309699999999
322,Kemiönsaari,22.483299,60.0667
398,Lahti,25.661501,60.9827
399,Laihia,22.0114,62.976101
400,Laitila,21.697701000000002,60.875801
402,Lapinlahti,27.4,63.366699
403,Lappajärvi,23.633301,63.200001
405,Lappeenranta,28.1887,61.058701
407,Lapinjärvi,26.197201,60.624401
408,Lapua,23.008801000000002,62.969299
410,Laukaa,25.9519,62.414101
416,Lemi,27.8057,61.062401
417,Lemland,20.0864,60.0689
418,Lempäälä,23.75,61.3167
420,Leppävirta,27.7826,62.490101
421,Lestijärvi,24.65,63.533297999999995
422,Lieksa,30.016701,63.3167
423,Lieto,22.4618,60.5103
425,Liminka,25.4154,64.809898
426,Liperi,29.366699,62.533297999999995
430,Loimaa,22.950001,60.766701
433,Loppi,24.450001,60.716702000000005
434,Loviisa,26.225,60.4566
435,Luhanka,25.704598999999998,61.796799
436,Lumijoki,25.1861,64.837402
438,Lumparland,20.262,60.1152
440,Larsmo,22.747298999999998,63.753899
441,Luumäki,27.5814,60.926201
