municipalityNumber,provinceNumber,province,municipality,latitude,longitude
5,14,Etelä-Pohjanmaa,Alajärvi,23.8167,63.0
9,17,Pohjois-Pohjanmaa,Alavieska,24.299999,64.166702
10,14,Etelä-Pohjanmaa,Alavus,23.616699,62.583302
16,7,Päijät-Häme,Asikkala,25.5,61.21670200000001
18,1,Uusimaa,Askola,25.6,60.533298
19,2,Varsinais-Suomi,Aura,22.5875,60.647099
20,6,Pirkanmaa,Akaa,23.866699,61.166698
35,21,Ahvenanmaa,Brändö,21.0426,60.4126
43,21,Ahvenanmaa,Eckerö,19.5595,60.2232
46,10,Etelä-Savo,Enonkoski,28.9333,62.083302
47,19,Lappi,Enontekiö,23.6322,68.385696
49,1,Uusimaa,Espoo,24.652201,60.2052
50,4,Satakunta,Eura,22.133301,61.133301
51,4,Satakunta,Eurajoki,21.733299,61.200001
52,14,Etelä-Pohjanmaa,Evijärvi,23.483299,63.366699
60,21,Ahvenanmaa,Finström,19.9881,60.229
61,5,Kanta-Häme,Forssa,23.6215,60.814602
62,21,Ahvenanmaa,Föglö,20.4139,60.0146
65,21,Ahvenanmaa,Geta,19.8472,60.375
69,17,Pohjois-Pohjanmaa,Haapajärvi,25.3333,63.75
71,17,Pohjois-Pohjanmaa,Haapavesi,25.366699,64.133301
72,17,Pohjois-Pohjanmaa,Hailuoto,24.7139,65.009003
74,16,Keski-Pohjanmaa,Halsua,24.1667,63.46670200000001
75,8,Kymenlaakso,Hamina,27.197901,60.569698
76,21,Ahvenanmaa,Hammarland,19.7402,60.2164
77,13,Keski-Suomi,Hankasalmi,26.4333,62.383301
78,1,Uusimaa,Hanko,22.950001,59.833302
79,4,Satakunta,Harjavalta,22.133301,61.3167
81,7,Päijät-Häme,Hartola,26.016701,61.583302
82,5,Kanta-Häme,Hattula,24.3715,61.057499
86,5,Kanta-Häme,Hausjärvi,24.9333,60.783298
90,10,Etelä-Savo,Heinävesi,28.6,62.4333
91,1,Uusimaa,Helsinki,24.9354,60.169498
92,1,Uusimaa,Vantaa,25.041,60.294102
97,10,Etelä-Savo,Hirvensalmi,26.799999,61.633301
98,7,Päijät-Häme,Hollola,25.4333,61.049999
99,4,Satakunta,Honkajoki,22.266701,61.983299
102,4,Satakunta,Huittinen,22.700001,61.1833
103,5,Kanta-Häme,Humppila,23.366699,60.9333
105,18,Kainuu,Hyrynsalmi,28.5333,64.666702
106,1,Uusimaa,Hyvinkää,24.866699,60.633301
108,6,Pirkanmaa,Hämeenkyrö,23.195299,61.639099
109,5,Kanta-Häme,Hämeenlinna,24.4643,60.995998
111,7,Päijät-Häme,Heinola,26.038099,61.205601
139,17,Pohjois-Pohjanmaa,Ii,25.3731,65.317398
140,11,Pohjois-Savo,Iisalmi,27.190701,63.5592
142,8,Kymenlaakso,Iitti,26.338699,60.894901
143,6,Pirkanmaa,Ikaalinen,23.0658,61.769501
145,14,Etelä-Pohjanmaa,Ilmajoki,22.5667,62.733299
146,12,Pohjois-Karjala,Ilomantsi,30.9328,62.6716
148,19,Lappi,Inari,27.028799,68.905998
149,1,Uusimaa,Inkoo,24.004601,60.045898
151,14,Etelä-Pohjanmaa,Isojoki,21.958799,62.113201
152,15,Pohjanmaa,Isokyrö,22.3333,63.0117
153,9,Etelä-Karjala,Imatra,28.752399,61.171799
165,5,Kanta-Häme,Janakkala,24.6,60.900002
167,12,Pohjois-Karjala,Joensuu,29.763201,62.6012
169,5,Kanta-Häme,Jokioinen,23.48,60.801601
170,21,Ahvenanmaa,Jomala,19.9486,60.1522
171,10,Etelä-Savo,Joroinen,27.8316,62.1782
172,13,Keski-Suomi,Joutsa,26.116699,61.733299
176,12,Pohjois-Karjala,Juuka,29.25,63.233299
177,6,Pirkanmaa,Juupajoki,24.3694,61.799
178,10,Etelä-Savo,Juva,27.85,61.900002
179,13,Keski-Suomi,Jyväskylä,25.7209,62.241501
