source,destination,tms
Länsi-Pohja-Hospital-District,Lappi-Hospital-District,"1427,1;1401,1;1451,1"
Länsi-Pohja-Hospital-District,North-Ostrobothnia-Hospital-District,"1452,1;1229,2"
Lappi-Hospital-District,Länsi-Pohja-Hospital-District,"1451,2;1427,2;1401,2"
Lappi-Hospital-District,North-Ostrobothnia-Hospital-District,"1426,2;1203,2;1225,2"
Vaasa-Hospital-District,South-Ostrobothnia-Hospital-District,"1053,1;1036,2;1004,1;1001,2;1031,2;1046,1"
Vaasa-Hospital-District,Central-Ostrobothnia-Hospital-District,"1026,1"
Vaasa-Hospital-District,Satakunta-Hospital-District,"1050,2;1022,2"
North-Ostrobothnia-Hospital-District,Lappi-Hospital-District,"1203,1;1225,1;1426,1"
North-Ostrobothnia-Hospital-District,Länsi-Pohja-Hospital-District,"1229,1;1452,2"
North-Ostrobothnia-Hospital-District,Kainuu-Hospital-District,"1324,1;1326,1;1329,1;1327,2;1328,2"
North-Ostrobothnia-Hospital-District,Central-Ostrobothnia-Hospital-District,"1103,2;1052,1;1040,2"
North-Ostrobothnia-Hospital-District,Central-Finland-Hospital-District,"1101,2;925,2"
North-Ostrobothnia-Hospital-District,North-Savo-Hospital-District,"1105,2;807,1;822,1"
Kainuu-Hospital-District,North-Ostrobothnia-Hospital-District,"1326,2;1329,2;1327,1;1328,1;1324,2"
Kainuu-Hospital-District,North-Savo-Hospital-District,"1321,2;826,2"
Kainuu-Hospital-District,North-Karelia-Hospital-District,"1303,2;1323,2;705,2;725,2"
Central-Ostrobothnia-Hospital-District,North-Ostrobothnia-Hospital-District,"1040,1;1103,1;1052,2"
Central-Ostrobothnia-Hospital-District,Central-Finland-Hospital-District,"1064,1"
Central-Ostrobothnia-Hospital-District,Vaasa-Hospital-District,"1026,2"
South-Ostrobothnia-Hospital-District,Vaasa-Hospital-District,"1004,2;1001,1;1031,1;1046,2;1053,2;1036,1"
South-Ostrobothnia-Hospital-District,Central-Finland-Hospital-District,"1065,1;1027,1;904,1"
