source,destination,tms
Ruotsi,Lappi,"1431,2;1432,2;1433,2;1434,2;1436,2"
Norja,Lappi,"1447,2;1446,2;1445,2;1444,2;1443,2"
Venäjä,Lappi,"1430,2"
Pohjois-Pohjanmaa,Lappi,"1203,2;1225,2;1229,2"
Kainuu,Pohjois-Pohjanmaa,"1328,1;1327,1;1324,2;1326,2"
Pohjois-Savo,Pohjois-Pohjanmaa,"807,2"
Keski-Suomi,Pohjois-Pohjanmaa,"1101,1"
Keski-Pohjanmaa,Pohjois-Pohjanmaa,"1103,1;1052,1"
Pohjanmaa,Keski-Pohjanmaa,"1023,2;1048,2"
Keski-Suomi,Keski-Pohjanmaa,"1064,2"
Etelä-Pohjanmaa,Pohjanmaa,"1028,1;1031,1;1004,2;1001,1;1046,2"
Satakunta,Pohjanmaa,"1050,1"
Pirkanmaa,Satakunta,"226,2;224,1;210,2"
Kanta-Häme,Satakunta,"403,1"
Varsinais-Suomi,Satakunta,"206,1"
Kanta-Häme,Varsinais-Suomi,"209,2"
Pirkanmaa,Varsinais-Suomi,"445,1"
Uusimaa,Varsinais-Suomi,"248,1"
Kanta-Häme,Uusimaa,"122,2;429,2"
Päijät-Häme,Uusimaa,"142,2"
Kymenlaakso,Uusimaa,"521,2;575,2"
Pirkanmaa,Kanta-Häme,"402,2"
Päijät-Häme,Kanta-Häme,"407,1;408,2"
Päijät-Häme,Kymenlaakso,"502,1"
Etelä-Savo,Kymenlaakso,"527,2"
Etelä-Karjala,Kymenlaakso,"587,2;503,2"
Venäjä,Kymenlaakso,"541,2"
Etelä-Savo,Etelä-Karjala,"526,1"
Venäjä,Etelä-Karjala,"306,2;532,2"
Pohjois-Karjala,Etelä-Karjala,"732,2"
Pohjois-Karjala,Etelä-Savo,"704,2;723,2"
Pohjois-Savo,Etelä-Savo,"631,2;801,2"
Keski-Suomi,Etelä-Savo,"622,2;629,1"
Pirkanmaa,Keski-Suomi,"448,1;905,1"
Venäjä,Pohjois-Karjala,"724,2"
Pohjois-Savo,Pohjois-Karjala,"804,1;805,1"
Kainuu,Pohjois-Karjala,"1303,2;1323,2"
Lappi,Ruotsi,"1431,1;1432,1;1433,1;1434,1;1436,1"
Lappi,Norja,"1447,1;1446,1;1445,1;1444,1;1443,1"
Lappi,Venäjä,"1430,1"
Lappi,Pohjois-Pohjanmaa,"1203,1;1225,1;1229,1"
Pohjois-Pohjanmaa,Kainuu,"1328,2;1327,2;1324,1;1326,1"
Pohjois-Pohjanmaa,Pohjois-Savo,"807,1"
Pohjois-Pohjanmaa,Keski-Suomi,"1101,2"
Pohjois-Pohjanmaa,Keski-Pohjanmaa,"1103,2;1052,2"
Keski-Pohjanmaa,Pohjanmaa,"1023,1;1048,1"
Keski-Pohjanmaa,Keski-Suomi,"1064,1"
Pohjanmaa,Etelä-Pohjanmaa,"1028,2;1031,2;1004,1;1001,2;1046,1"
Pohjanmaa,Satakunta,"1050,2"
Satakunta,Pirkanmaa,"226,1;224,2;210,1"
Satakunta,Kanta-Häme,"403,2"
Satakunta,Varsinais-Suomi,"206,2"
Varsinais-Suomi,Kanta-Häme,"209,1"
Varsinais-Suomi,Pirkanmaa,"445,2"
Varsinais-Suomi,Uusimaa,"248,2"
Uusimaa,Kanta-Häme,"122,1;429,1"
Uusimaa,Päijät-Häme,"142,1"
Uusimaa,Kymenlaakso,"521,1;575,1"
Kanta-Häme,Pirkanmaa,"402,1"
Kanta-Häme,Päijät-Häme,"407,2;408,1"
Kymenlaakso,Päijät-Häme,"502,2"
Kymenlaakso,Etelä-Savo,"527,1"
Kymenlaakso,Etelä-Karjala,"587,1;503,1"
Kymenlaakso,Venäjä,"541,1"
Etelä-Karjala,Etelä-Savo,"526,2"
Etelä-Karjala,Venäjä,"306,1;532,1"
Etelä-Karjala,Pohjois-Karjala,"732,1"
Etelä-Savo,Pohjois-Karjala,"704,1;723,1"
Etelä-Savo,Pohjois-Savo,"631,1;801,1"
Etelä-Savo,Keski-Suomi,"622,1;629,2"
Keski-Suomi,Pirkanmaa,"448,2;905,2"
Pohjois-Karjala,Venäjä,"724,1"
Pohjois-Karjala,Pohjois-Savo,"804,2;805,2"
Pohjois-Karjala,Kainuu,"1303,1;1323,1"
Pirkanmaa,Etelä-Pohjanmaa,"1024,1;1021,1"
Etelä-Pohjanmaa,Pirkanmaa,"1024,2;1021,2"
Etelä-Pohjanmaa,Keski-Suomi,"1027,1;1065,1"
Keski-Suomi,Etelä-Pohjanmaa,"1027,2;1065,2"
Keski-Suomi,Pohjois-Savo,"806,1;821,1"
Pohjois-Savo,Keski-Suomi,"806,2;821,2"
Keski-Suomi,Päijät-Häme,"921,2;623,2"
Päijät-Häme,Keski-Suomi,"921,1;623,1"
Kainuu,Pohjois-Savo,"1321,2"
Pohjois-Savo,Kainuu,"1321,1"
