,source,destination,tms
0,HYKS,KYS,"527,1526,2732,1921,1;623,1"
1,HYKS,TAYS,"407,1;408,2122,1;429,1"
2,HYKS,TYKS,"248,1"
3,HYKS,Venäjä,"598,1306,1;532,1"
4,KYS,HYKS,"527,2526,1732,2921,2;623,2"
5,KYS,OYS,"807,21101,11064,21303,1;1323,11321,1"
6,KYS,TAYS,"448,2;905,21027,2;1065,2"
7,KYS,Venäjä,"724,1"
8,Norja,OYS,"1447,2;1446,2;1445,2;1444,2;1443,2"
9,OYS,KYS,"1303,2;1323,2807,11101,21064,11321,2"
10,OYS,Norja,"1447,1;1446,1;1445,1;1444,1;1443,1"
11,OYS,Ruotsi,"1431,1;1432,1;1433,1;1434,1;1436,1"
12,OYS,TAYS,"1028,2;1031,2;1004,1;1001,2;1046,1"
13,OYS,TYKS,"1050,2"
14,OYS,Venäjä,"1430,1"
15,Ruotsi,OYS,"1431,2;1432,2;1433,2;1434,2;1436,2"
16,TAYS,HYKS,"122,2;429,2407,2;408,1"
17,TAYS,KYS,"448,1;905,11027,1;1065,1"
18,TAYS,OYS,"1028,1;1031,1;1004,2;1001,1;1046,2"
19,TAYS,TYKS,"226,2;224,1;210,2403,1209,2445,1"
20,TYKS,HYKS,"248,2"
21,TYKS,OYS,"1050,1"
22,TYKS,TAYS,"226,1;224,2;210,1403,2209,1445,2"
23,Venäjä,HYKS,"598,2306,2;532,2"
24,Venäjä,KYS,"724,2"
25,Venäjä,OYS,"1430,2"
